mcc,category_rus
7230,Парикмахерские и салоны красоты
3778,"Отели, мотели, курорты"
2741,Различные издательства/ печатное дело
7361,"Агентства по трудоустройству, временные справочные службы"
3043,"Авиалинии, авиакомпании"
7342,Истребление насекомых и дезинфекция
3653,"Отели, мотели, курорты"
3770,"Отели, мотели, курорты"
3632,"Отели, мотели, курорты"
8043,"Оптика, оптические товары и очки"
7922,"Театральные продюсеры (кроме кинофильмов), билетные агентства"
4215,"Услуги курьера ? по воздуху и на земле, агентство по отправке грузов"
8299,Образовательные услуги
5960,Прямой маркетинг ? страховые услуги
3535,"Отели, мотели, курорты"
3034,"Авиалинии, авиакомпании"
3750,"Отели, мотели, курорты"
3745,"Отели, мотели, курорты"
3523,"Отели, мотели, курорты"
5200,Товары для дома
742,Ветеринарные услуги
5976,Ортопедические товары
3102,"Авиалинии, авиакомпании"
5718,"Продажа каминов, экранов для каминов и аксессуаров"
3058,"Авиалинии, авиакомпании"
3831,"Отели, мотели, курорты"
3040,"Авиалинии, авиакомпании"
3771,"Отели, мотели, курорты"
3650,"Отели, мотели, курорты"
7692,Ремонт с помощью сварки
4812,"Телекоммуникационное оборудование, включая продажу телефонов"
3005,"Авиалинии, авиакомпании"
5122,"Лекарства, их распространители, аптеки"
1740,"Изоляция, мозаика, штукатурные работы, каменная кладка, облицовка плиткой, кафелем"
3716,"Отели, мотели, курорты"
3020,"Авиалинии, авиакомпании"
3438,Агентства по аренде автомобилей
3638,"Отели, мотели, курорты"
4121,Лимузины и такси
3642,"Отели, мотели, курорты"
8220,"Колледжи, университеты"
5310,"Магазины, торгующие по сниженным ценам"
3032,"Авиалинии, авиакомпании"
3072,"Авиалинии, авиакомпании"
3824,"Отели, мотели, курорты"
3518,"Отели, мотели, курорты"
3598,"Отели, мотели, курорты"
3730,"Отели, мотели, курорты"
9399,Правительственные услуги - нигде более не классифицированные
7278,Услуги покупок/шоппинга
7932,Бильярд-клубы
3026,"Авиалинии, авиакомпании"
1750,Столярные работы
5978,"Магазины печатающих устройств ? аренда, продажа, услуги"
3722,"Отели, мотели, курорты"
3266,"Авиалинии, авиакомпании"
3577,"Отели, мотели, курорты"
5722,Бытовое оборудование
5661,Обувные магазины
8398,Благотворительные и общественные службы - сбор средств
5231,"Розничная продажа стекла, красок и обоев"
8050,Услуги персонального ухода
3047,"Авиалинии, авиакомпании"
5198,Лакокрасочная продукция и сопровождающие товары
3013,"Авиалинии, авиакомпании"
3672,"Отели, мотели, курорты"
3786,"Отели, мотели, курорты"
5571,Продажа мотоциклов
7221,Фотостудии
7998,"Аквариумы, дельфинарии, зоопарки и морские парки"
5542,Автоматизированные бензозаправки
4011,Железные дороги ? перевозка грузов
8041,Хиропрактики
3206,"Авиалинии, авиакомпании"
3069,"Авиалинии, авиакомпании"
3726,"Отели, мотели, курорты"
4511,"Авиалинии, авиакомпании - нигде более не классифицированные"
4582,"Аэропорты, терминалы аэропортов, лётные поля"
7033,Кемпинги и трейлер-парки
1761,"Кровельные и сайдинговые работы, обработка листового металла"
3246,"Авиалинии, авиакомпании"
3051,"Авиалинии, авиакомпании"
3829,"Отели, мотели, курорты"
3536,"Отели, мотели, курорты"
3718,"Отели, мотели, курорты"
3628,"Отели, мотели, курорты"
3546,"Отели, мотели, курорты"
5541,"Станции техобслуживания, с дополнительными услугами или без"
5422,Продажа свежего и мороженого мяса
5111,"Канцелярия, офисные сопутствующие товары, бумага для печатания и письма"
4111,"Пассажирские перевозки - пригородные и местные пригородные рейсы, включая паромы"
5697,"Услуги по переделке, починке и пошиву одежды"
5099,Товары длительного пользования ? нигде более не классифицированные
4411,Круизные линии
3530,"Отели, мотели, курорты"
7277,"Долги, брак, личные вопросы - консультирование"
3064,"Авиалинии, авиакомпании"
3295,"Авиалинии, авиакомпании"
5271,Продажа жилых фургонов
3675,"Отели, мотели, курорты"
7832,Кинотеатры
5735,Магазины звукозаписи
8661,Религиозные организации
